"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","P_value_study_count","AdjP_value_study_count"
"487","SLC2A4RG",10,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser2BaselineVSzeroAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSone obermoser4BaselineVStwentyFourAll",5,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfortyEightAll",1,0,5,4,0,0,0,0,3,2
"488","SLC35G2",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"489","SMKR1",5,"gomez goschFifteenHrMain goschNineHrMain rusch karlovich_28d",1,"goschNineHrMain",1,0,2,0,0,1,0,1,4,2
"490","RPRD2",9,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll rusch karlovich_14d",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,4,2,0,1,0,1,5,2
"491","TPTE2P5",2,"gomez meaburn2",0,"",1,1,0,0,0,0,0,0,2,0
"492","ADAM1B",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"493","MBTPS1",13,"gomez meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser3BaselineVSsevenAll obermoser3BaselineVStwentyEightAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSthirtySixAll rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,1,4,6,0,1,0,0,5,1
"494","DNMBP",3,"gomez meaburn1 goschSixHrMain",0,"",1,1,1,0,0,0,0,0,3,0
"495","PSAT1",7,"gomez goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser4BaselineVSzeroAll rusch",1,"goschNineHrMain",1,0,2,3,0,1,0,0,4,1
"496","SLTM",6,"gomez meaburn2 obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVSthreeALL rusch",2,"obermoser1BaseVSsevenALL rusch",1,1,0,3,0,1,0,0,4,2
"497","QSER1",3,"gomez meaburn2 obermoser4BaselineVSthirtySixAll",1,"meaburn2",1,1,0,1,0,0,0,0,3,1
"498","RP11-545I5",3,"gomez goschNineHrMain goschTwelveHrMain",1,"goschNineHrMain",1,0,2,0,0,0,0,0,2,1
"499","RN7SL521P",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"500","STK35",8,"gomez goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSthirtySixAll",1,"goschNineHrMain",1,0,3,4,0,0,0,0,3,1
"501","VTN",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"502","PSMA6",6,"gomez meaburn2 obermoser1BaseVStwentyOneALL obermoser4BaselineVStwelveAll karlovich_28d karlovich2",1,"karlovich2",1,1,0,2,0,0,0,2,4,1
"503","EPB41L5",7,"gomez goschTwentyoneHrMain obermoser1BaseVSsevenALL obermoser1BaseVSthreeALL obermoser2BaselineVSsevenAll obermoser4BaselineVSone rusch",0,"",1,0,1,4,0,1,0,0,4,0
"504","MZT1",15,"gomez meaburn2 goschNineHrMain obermoser1BaseVSthreeALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll rusch",4,"goschNineHrMain obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll rusch",1,1,1,11,0,1,0,0,5,3
"505","PSMG4",5,"gomez meaburn2 goschNineHrMain goschTwelveHrMain karlovich2",2,"goschNineHrMain goschTwelveHrMain",1,1,2,0,0,0,0,1,4,2
"506","KIF14",10,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser3BaselineVSsevenAll karlovich_14d karlovich_28d",5,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,6,1,0,0,0,2,4,2
"507","CTD-2179L22",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"508","PACSIN1",14,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll larocca",4,"obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",1,0,5,7,0,0,1,0,4,1
"509","RP11-285J16",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"510","ADORA2B",3,"gomez obermoser1BaseVSsevenALL obermoser1BaseVSzeroALL",0,"",1,0,0,2,0,0,0,0,2,0
"511","ASL",17,"gomez goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll",4,"obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVStwelveAll",1,0,3,13,0,0,0,0,3,1
"512","BAD",9,"gomez meaburn2 goschNineHrMain obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVSthreeALL obermoser1BaseVStwentyOneALL obermoser1BaseVSzeroALL obermoser3BaselineVSsevenAll",2,"goschNineHrMain obermoser1BaseVSsevenALL",1,1,1,6,0,0,0,0,4,2
"513","DGKE",6,"gomez meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,1,4,0,0,0,0,0,3,1
"514","HSPH1",13,"gomez meaburn1 goschEighteenHrMain goschFifteenHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser3BaselineVSpoint5All obermoser3BaselineVSthreeAll obermoser3BaselineVStwentyEightAll obermoser4BaselineVSone rusch",3,"goschEighteenHrMain goschTwelveHrMain rusch",1,1,4,6,0,1,0,0,5,2
"515","CH17-472G23",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"516","PLK1",10,"gomez obermoser2BaselineVSsevenAll obermoser3BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVSzeroAll",2,"obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll",1,0,0,9,0,0,0,0,2,1
"517","MYO1D",3,"gomez obermoser1BaseVSsevenALL obermoser3BaselineVSsevenAll",1,"obermoser1BaseVSsevenALL",1,0,0,2,0,0,0,0,2,1
