"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"133","MATK",15,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp dusek.vp karlovich1.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp larocca.rp karlovich1.rp karlovich2.rp",2,1,2,5,1,0,1,3,7
"134","CD79B",19,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp karlovich2.vp gomez.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp larocca.rp karlovich1.rp karlovich2.rp",2,1,1,8,2,0,2,3,7
"135","ST7L",1,"meaburn2.rp",0,1,0,0,0,0,0,0,1
"136","TKTL1",12,"rusch.sd gosch.vp obermoser1.vp rusch.vp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",0,1,2,5,0,3,1,0,5
"137","RPUSD1",3,"obermoser2.vp obermoser3.vp obermoser2.rp",0,0,0,3,0,0,0,0,1
"138","LUC7L",6,"gomez.vp gosch.vp dusek.vp rusch.vp dusek.rp rusch.rp",1,0,1,0,2,2,0,0,4
"139","CACNA2D2",8,"obermoser2.vp obermoser4.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",1,0,1,6,0,0,0,0,3
"140","BAIAP3",6,"gomez.vp gosch.vp larocca.vp gomez.rp gosch.rp larocca.rp",2,0,2,0,0,0,2,0,3
"141","TSR3",0,"",0,0,0,0,0,0,0,0,0
"142","PIGQ",7,"gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp obermoser1.rp obermoser2.rp obermoser4.rp",0,0,1,6,0,0,0,0,2
"143","CRAMP1",0,"",0,0,0,0,0,0,0,0,0
"144","DNAJC11",0,"",0,0,0,0,0,0,0,0,0
"145","MYLIP",10,"meaburn1.vp meaburn2.vp obermoser1.vp obermoser4.vp rusch.vp karlovich1.vp meaburn1.rp obermoser1.rp obermoser4.rp rusch.rp",0,3,0,4,0,2,0,1,4
"146","E2F2",18,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp karlovich1.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp larocca.rp karlovich1.rp karlovich2.rp",2,0,2,6,1,2,2,3,7
"147","PSMB1",3,"obermoser1.vp obermoser4.vp karlovich2.rp",0,0,0,2,0,0,0,1,2
"148","JARID2",8,"gosch.vp meaburn1.vp obermoser1.vp obermoser3.vp obermoser4.vp rusch.vp larocca.vp karlovich1.rp",0,1,1,3,0,1,1,1,6
"149","CDKL5",4,"meaburn2.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,0,0,0,1,0,0,2
"150","CDK11A",1,"gomez.vp",1,0,0,0,0,0,0,0,1
"151","NADK",14,"gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp karlovich1.vp karlovich2.vp meaburn1.rp obermoser1.rp obermoser2.rp karlovich1.rp karlovich2.rp",0,2,1,6,1,0,0,4,5
"152","DLEC1",0,"",0,0,0,0,0,0,0,0,0
"153","CYTH3",4,"gosch.vp dusek.vp karlovich1.vp karlovich2.rp",0,0,1,0,1,0,0,2,3
"154","ADAM22",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"155","SYPL1",10,"gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp karlovich2.vp obermoser1.rp obermoser4.rp karlovich2.rp",0,0,1,6,1,0,0,2,4
"156","CYB561",6,"gomez.vp meaburn1.vp meaburn2.vp dusek.vp karlovich1.vp obermoser1.rp",1,2,0,1,1,0,0,1,5
"157","SPAG9",14,"meaburn2.sd meaburn1.vp meaburn2.vp obermoser1.vp obermoser4.vp dusek.vp karlovich1.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp karlovich1.rp",0,5,0,4,2,1,0,2,5
"158","CELSR3",5,"obermoser1.vp gosch.rp obermoser1.rp obermoser3.rp obermoser4.rp",0,0,1,4,0,0,0,0,2
